121407	121412	1
121408	121412	1
121410	121412	1
121411	121412	7
121407	121410	1
121409	121410	5
121405	121406	1
121360	121402	1
121401	121402	2
120868	121400	1
121388	121390	1
121389	121390	1
121373	121374	1
121339	121340	1
121331	121332	1
121307	121308	1
121279	121282	1
121272	121276	1
121221	121228	1
121175	121176	1
121161	121162	1
121157	121158	1
121149	121150	1
121146	121148	1
121141	121142	1
121121	121122	1
121102	121104	1
121091	121092	1
121089	121090	1
121055	121056	1
121049	121050	1
121015	121016	1
121013	121014	1
121003	121004	1
120991	120992	1
120933	120934	1
120850	120850	1
120791	120792	1
120741	120742	1
120539	120540	1
120525	120526	1
120033	120034	1
120021	120028	1
119697	119698	1
119415	119416	1
118920	118926	1
118229	118230	1
117947	117948	1
117915	117916	1
117901	117908	1
117646	117646	1
117589	117590	1
117445	117446	1
117399	117400	1
117350	117350	1
117347	117348	1
117263	117266	1
117220	117262	1
117245	117246	1
117220	117222	1
117117	117118	1
116713	116714	1
116453	116454	1
116199	116200	1
116025	116026	1
115963	115964	1
115710	115712	1
115645	115646	1
115624	115636	1
115597	115598	1
115523	115524	1
115323	115324	1
115297	115298	1
115111	115144	1
114770	114772	1
113881	113882	1
113689	113690	1
112965	112966	1
112550	112552	1
112102	112106	1
111957	111958	1
111815	111816	1
111080	111080	1
111009	111012	1
110765	110770	1
110443	110444	1
110437	110438	1
110403	110404	1
110239	110240	1
109444	109446	1
107741	107742	1
105786	105788	1
105565	105566	1
99590	99592	1
98211	98212	1
95214	95318	1
66058	94558	1
93825	93826	1
58944	84284	1
82887	82888	1
77549	77550	1
77469	77476	1
75346	75346	1
73913	73914	1
70593	70594	1
67823	67824	1
65930	65932	1
64030	64032	1
62733	62734	1
61590	61590	1
56930	56930	1
56094	56112	1
56013	56022	1
54795	54796	1
54776	54788	1
54475	54476	1
54423	54426	1
54077	54078	1
54009	54010	1
53885	53888	1
53221	53222	1
53051	53052	1
52495	52610	1
50396	50396	1
49162	49166	1
48355	48536	1
48439	48440	1
47529	47534	1
47447	47448	1
47424	47426	1
47350	47350	1
47051	47052	1
46444	46444	1
44677	44678	1
44134	44134	1
43219	43220	1
42663	42664	1
42363	42364	1
41791	41792	1
40393	40394	1
39693	39694	1
38728	38728	1
38412	38414	1
33804	33804	1
33615	33616	1
32798	32800	1
31384	31384	1
30324	30324	1
29808	29826	1
29531	29532	1
27912	27912	1
27460	27462	1
27140	27142	1
25788	25788	1
20583	25378	1
24970	24972	1
24553	24554	1
24453	24454	1
24300	24308	1
23579	23580	1
22998	22998	1
22256	22256	1
20826	20828	1
20413	20414	1
19857	19858	1
19639	19640	1
18953	18954	1
17904	17904	1
17481	17482	1
17377	17378	1
16449	16450	1
16424	16424	1
14479	14480	1
13342	13342	1
12251	12258	1
12109	12110	1
12009	12010	1
11835	11836	1
11780	11780	1
11448	11448	1
10965	10966	1
10384	10386	1
9504	9504	1
8978	8978	1
8814	8820	1
8025	8032	1
8004	8020	1
7816	7816	1
6025	6026	1
5145	5146	1
4486	4488	1
3773	3774	1
3634	3634	1
3163	3164	1
2880	2880	1
2821	2822	1
729	730	1
691	692	1
540	540	1
536	536	1
